Found 2 clusters
         36857989 function calls (36842332 primitive calls) in 57.549 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      193    0.000    0.000    0.001    0.000 transforms.py:1826(transform_affine)
      379    0.000    0.000    0.008    0.000 re.py:175(sub)
      254    0.000    0.000    0.004    0.000 rcsetup.py:342(validate_color_for_prop_cycle)
        6    0.000    0.000    0.003    0.001 patches.py:1822(_pprint_styles)
       54    0.000    0.000    0.001    0.000 __init__.py:953(_open_file_or_url)
        1    0.000    0.000    0.193    0.193 pyplot.py:19(<module>)
      366    0.000    0.000    0.000    0.000 rcsetup.py:118(validate_bool)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3238(__init__)
       32    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
       31    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      216    0.000    0.000    0.001    0.000 sre_parse.py:78(opengroup)
        3    0.000    0.000    0.000    0.000 expr.py:216(disallowed)
      866    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
